City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,pilar,-9.5972,-35.9567,67.93,87,45,2.48,BR,1624755993
85,alihe,50.5667,123.7167,74.3,65,67,3.85,CN,1624755950
86,griffith,41.5284,-87.4237,76.48,95,40,3.0,US,1624756207
87,carnarvon,-24.8667,113.6333,59.07,60,7,11.5,AU,1624756208
88,ust-kut,56.7938,105.7672,63.95,57,100,3.22,RU,1624756208
89,santa cruz,-17.8,-63.1667,72.86,94,75,2.3,BO,1624756039
90,tuatapere,-46.1333,167.6833,51.82,85,91,2.71,NZ,1624755623
91,zarnovica,48.4812,18.7157,60.28,95,3,3.91,SK,1624756209
92,komsomolskiy,40.4272,71.7189,69.22,37,4,6.91,UZ,1624756209
93,dixon,38.4455,-121.8233,104.79,29,1,10.36,US,1624756209
94,bure,10.7,37.0667,55.27,91,43,4.18,ET,1624756210
95,mae hong son,19.3003,97.9685,75.88,98,100,0.63,TH,1624756210
96,butaritari,3.0707,172.7902,82.92,76,100,14.58,KI,1624756211
97,dodge city,37.7528,-100.0171,79.25,57,75,8.01,US,1624756211
98,tiksi,71.6872,128.8694,35.64,85,100,7.74,RU,1624756009
99,hofn,64.2539,-15.2082,51.87,65,100,2.53,IS,1624755891
100,awbari,26.5921,12.7805,86.34,14,0,9.82,LY,1624756212
101,dikson,73.5069,80.5464,33.94,80,29,1.95,RU,1624756212
102,ostrovnoy,68.0531,39.5131,45.93,78,82,1.41,RU,1624756212
103,bonavista,48.6499,-53.1147,58.64,84,100,15.52,CA,1624755899
104,zhezkazgan,47.8043,67.7144,69.64,32,78,14.58,KZ,1624756213
105,bredasdorp,-34.5322,20.0403,48.27,79,36,5.7,ZA,1624756213
106,carauari,-4.8828,-66.8958,78.37,76,100,2.21,BR,1624756213
107,karratha,-20.7377,116.8463,67.48,55,87,7.83,AU,1624755985
108,birao,10.2849,22.7882,77.11,64,11,5.08,CF,1624756214
109,jamestown,42.097,-79.2353,80.19,70,1,5.99,US,1624755931
110,north platte,41.1239,-100.7654,78.69,42,1,1.01,US,1624756214
111,nanortalik,60.1432,-45.2371,46.44,89,100,4.05,GL,1624756215
112,khani,41.9563,42.9566,62.17,95,25,2.82,GE,1624756215
113,khatanga,71.9667,102.5,51.6,45,98,10.69,RU,1624756215
114,buraydah,26.326,43.975,88.14,10,0,8.12,SA,1624756216
115,waterfoot,53.6929,-2.2525,56.8,92,42,1.01,GB,1624756216
116,bethel,41.3712,-73.414,77.72,84,40,8.05,US,1624756216
117,zephyrhills,28.2336,-82.1812,81.72,83,1,12.15,US,1624756217
118,cabedelo,-6.9811,-34.8339,72.27,77,71,14.99,BR,1624756217
119,marawi,7.9986,124.2928,76.48,75,100,1.14,PH,1624756217
120,manokwari,-0.8667,134.0833,82.49,72,92,6.78,ID,1624756218
121,blairmore,49.6,-114.4353,79.92,40,4,6.13,CA,1624756218
122,brigantine,39.4101,-74.3646,78.49,87,1,11.5,US,1624756218
123,nikolskoye,59.7035,30.7861,64.29,94,20,2.39,RU,1624756218
124,cayenne,4.9333,-52.3333,79.09,86,0,1.01,GF,1624756219
125,balancan,17.8,-91.5333,80.87,76,100,4.61,MX,1624756219
126,chukhloma,58.7525,42.6825,64.65,95,70,3.78,RU,1624756220
127,panaba,21.2833,-88.2667,78.51,79,100,6.11,MX,1624756220
128,luis correia,-2.8792,-41.6669,76.73,83,5,4.05,BR,1624756220
129,cartagena del chaira,1.3349,-74.8429,72.48,96,100,0.72,CO,1624756221
130,mattru,7.6244,-11.8332,73.02,98,100,1.36,SL,1624756221
131,coihaique,-45.5752,-72.0662,31.95,86,0,5.75,CL,1624756221
132,bambous virieux,-20.3428,57.7575,71.22,82,8,6.53,MU,1624756013
133,chokurdakh,70.6333,147.9167,77.49,35,23,7.16,RU,1624756016
134,esperance,-33.8667,121.9,54.36,57,0,19.06,AU,1624756222
135,chuy,-33.6971,-53.4616,55.74,96,100,7.67,UY,1624756222
136,clyde river,70.4692,-68.5914,34.03,93,90,18.41,CA,1624756222
137,longyearbyen,78.2186,15.6401,35.44,100,75,4.61,SJ,1624756223
138,kruisfontein,-34.0033,24.7314,48.88,85,100,5.75,ZA,1624756223
139,airai,-8.9266,125.4092,68.16,63,61,4.99,TL,1624756004
140,san buenaventura,27.0833,-101.5333,98.01,22,4,18.14,MX,1624756223
141,sindor,62.8629,51.8905,60.67,77,56,3.33,RU,1624756224
142,hillsborough,37.5741,-122.3794,88.32,78,20,23.0,US,1624756139
143,acarau,-2.8856,-40.12,76.93,79,5,5.28,BR,1624756224
144,pestravka,52.405,49.9583,68.61,75,2,5.5,RU,1624756225
145,fort nelson,58.8053,-122.7002,86.59,28,18,4.5,CA,1624756225
146,tezu,27.9167,96.1667,76.82,99,100,1.72,IN,1624756225
147,catu,-12.3531,-38.3789,76.12,95,8,2.35,BR,1624756226
148,tazovskiy,67.4667,78.7,44.26,62,0,13.73,RU,1624756226
149,berdigestyakh,62.0989,126.6992,78.84,36,76,3.11,RU,1624756014
150,hoquiam,46.9809,-123.8893,103.06,60,1,11.5,US,1624756008
151,ucluelet,48.9329,-125.5528,102.04,63,1,4.43,CA,1624756227
152,vostok,46.4856,135.8833,76.69,44,100,4.45,RU,1624756227
153,hervey bay,-25.2986,152.8535,60.04,92,100,4.0,AU,1624756227
154,mlonggo,-6.5333,110.7,82.29,74,10,2.28,ID,1624755911
155,olinda,-8.0089,-34.8553,71.33,73,0,9.22,BR,1624755767
156,kodiak,57.79,-152.4072,54.91,76,75,12.66,US,1624756228
157,santarem,-2.4431,-54.7083,75.33,100,0,0.0,BR,1624756228
158,sistranda,63.7256,8.834,53.91,81,100,21.07,NO,1624756229
159,lebu,-37.6167,-73.65,44.38,78,1,13.56,CL,1624756229
160,ancud,-41.8697,-73.8203,39.22,88,13,5.5,CL,1624756230
161,river falls,44.8614,-92.6238,71.69,97,100,2.89,US,1624756230
162,pangnirtung,66.1451,-65.7125,36.16,99,100,1.61,CA,1624756230
163,lompoc,34.6391,-120.4579,87.21,74,1,14.97,US,1624756186
